Comment,Designator,Footprint,LCSC
8MHz Cl 20pF,Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
STM32F401CBUx,U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825
100nF,"C11,C12,C13,C14,C15,C5,C6",C_0402_1005Metric,C1525
20pF,"C10,C9",C_0402_1005Metric,C1554
USB,J2,JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal,C157923
1uF,"C3,C4,C8",C_0603_1608Metric,C15849
4.7uF,C2,C_0603_1608Metric,C19666
10uF,C7,C_0603_1608Metric,C19702
10k,"R1,R2,R3,R4",R_0402_1005Metric,C25744
USBLC6-2SC6,U3,SOT-23-6,C2827654
BOOT0,SW1,SW_PUSH_6mm,C2834895
KEYBOARD,J3,HRS_DF14_20P,C506679
1uF,C1,C_0402_1005Metric,C52923
XC6206P332MR,U1,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
M24C64-RMN6TP,U4,SOIC-8_3.9x4.9mm_P1.27mm,C79988
SWD,J1,PinHeader_1x05_P2.54mm_Horizontal,
